customer_unique_id,frequency,monetary,recency
221e2,1,129.9,111
5be3f,1,18.9,114
37064,1,69.0,537
9f078,1,25.99,321
f8255,1,180.0,288
0607f,1,154.0,146
1fecf,1,27.99,131
4bafe,1,382.0,182
fd9a0,1,135.0,543
c0d97,1,104.9,170
6a8d4,1,13.9,407
2e933,1,79.0,283
1ba0a,1,49.95,158
c79c1,1,64.89,128
213b3,1,76.99,383
0d6d3,1,35.0,334
fb21b,1,13.9,260
769e1,1,28.9,234
1d855,1,229.8,377
6bdb4,1,59.9,65
b598f,1,14.96,8
c7b43,1,12.88,101
ce20c,1,285.8,34
2e04e,1,299.0,414
d5b77,1,49.95,177
632dd,1,170.0,363
2699e,1,59.99,585
05526,1,269.0,492
cdaf5,1,174.33,427
4cb21,1,99.99,389
f589d,1,129.9,316
bf5ea,1,88.0,223
6276b,1,59.8,27
ced02,1,74.5,32
7bf33,1,47.9,497
bd2a4,1,48.79,377
27d06,1,136.89000000000001,5
c926f,1,22.32,32
8d781,1,12.9,188
2da05,1,79.9,199
6fa1d,1,159.99,120
e149d,1,24.88,426
a4dd1,1,151.9,49
cc529,1,9.0,100
03e49,1,89.99,264
69aa4,1,39.9,68
e1461,1,24.88,528
bfe3c,1,176.99,521
7b91a,1,116.25,63
c763e,1,89.9,154
2a907,1,68.9,21
64f1f,1,39.5,89
20085,1,177.9,36
c8403,1,37.9,157
8d755,1,274.0,259
deef5,1,95.9,234
e2049,1,237.8,306
23262,1,199.9,183
09392,1,103.98,325
f3e08,1,49.9,574
49c82,1,23.99,267
3affc,1,196.99,302
42b13,1,19.49,226
26446,1,115.0,464
b5a87,1,44.99,139
29895,1,119.9,403
ccf68,1,97.9,211
69fef,1,92.9,196
d205e,1,59.9,304
e93c9,1,49.99,366
9b42d,1,514.9,46
14430,1,29.9,434
ce66c,1,128.9,692
e4ac7,1,45.0,44
f41ba,1,350.0,64
e01df,1,188.0,51
2f01e,1,26.0,114
f2037,1,438.0,109
58dd5,1,13.99,224
9c552,1,16.99,474
da402,1,148.0,385
b5044,1,79.9,210
2fc8b,1,215.0,212
947db,1,49.99,277
fff98,1,425.0,215
16d72,1,119.9,520
3c6f3,1,199.0,412
a66e7,1,85.5,150
6a48c,1,105.0,24
80ba3,1,149.9,35
ca701,1,99.99,15
f5f8c,1,18.75,166
42692,1,195.0,14
cc17b,1,109.7,23
1ed00,1,129.9,236
a8d40,1,157.0,271
b6c9d,1,524.9,119
2375f,1,119.99,534
4a4de,1,48.0,135
2762f,1,57.99,30
9311b,1,85.0,113
6157b,1,393.98,314
8c214,1,245.0,159
7066c,2,317.89,227
a2d48,1,69.8,270
54f04,1,49.9,35
0ac2c,1,49.9,496
a97ca,1,39.9,446
0d0a5,1,109.9,541
0677d,1,64.99,84
76183,1,5.9,71
82903,1,95.9,393
f6c59,1,60.0,366
bc99e,1,69.5,14
46079,1,21.7,21
57f16,1,24.99,243
5a66f,1,9.9,442
ff6ea,1,80.0,540
c2458,1,25.9,41
c9c2f,1,27.0,95
ed882,1,134.99,24
84e59,1,32.0,197
7549c,1,949.99,44
10879,1,94.9,388
80b9d,1,159.98,126
27f71,1,152.0,18
72b46,1,49.99,119
808fd,1,103.97,515
f322b,1,1561.0,150
7e09b,1,48.99,122
7b008,1,56.0,278
28470,1,328.0,544
16407,1,68.0,196
5875a,1,129.99,21
30709,1,92.9,151
8757e,1,220.64,39
4689b,1,19.9,298
2a2a8,1,75.07,8
115d0,1,70.0,103
b36c3,1,72.58,160
0044c,1,29.9,443
9880a,1,79.99,110
ce3e2,1,32.0,360
f68fe,1,159.99,332
36f0f,1,689.0,99
d6566,1,49.8,300
0fa79,1,199.99,33
8f99a,1,199.9,350
0f9c0,1,189.9,360
2541a,1,12.9,157
e944e,1,129.0,140
91b24,1,135.9,186
f45d5,1,37.8,229
0c8c1,1,215.6,180
34154,1,52.66,70
4876d,1,15.0,184
8d07a,1,89.9,324
39679,1,15.99,53
0e8b4,1,84.94,359
bbd80,1,169.9,71
c5ac5,1,59.9,64
ee045,1,49.0,277
be7e4,1,267.2,270
466e8,1,89.9,142
cf53c,1,19.9,195
4e603,1,67.99,76
c1544,1,79.9,389
1b5d5,1,189.9,262
c036f,1,44.98,317
40d0c,1,29.99,200
54cf9,1,108.9,394
70905,1,39.49,19
b62d9,1,104.9,102
95eb7,1,194.9,227
d2709,1,59.9,158
0973c,1,599.0,111
c9b67,1,219.0,203
d5df5,1,75.0,56
8ee63,1,200.0,384
2aa29,1,44.9,397
38d92,1,294.99,342
c91a1,1,139.99,71
78253,1,849.5,171
81b4f,1,53.9,114
13907,1,29.99,251
68163,1,99.99,501
a92da,1,53.9,142
eaebc,1,24.9,276
64035,1,48.9,273
57820,1,109.95,207
68114,1,78.8,337
c1bdb,1,21.9,107
2dd1b,1,129.0,84
8f609,1,49.97,240
a91db,1,54.4,172
31ac0,1,30.5,235
48f09,1,35.0,511
1be8d,1,465.88,211
8039a,1,330.0,161
fa662,1,249.99,406
4d76f,1,160.0,68
c3a45,1,126.99,559
20624,1,67.98,7
84097,1,29.9,172
b49db,1,111.51,14
5f019,1,114.0,371
9da75,1,45.0,138
00006,1,309.9,580
eec25,1,32.99,455
b78d2,1,120.9,273
3de26,1,16.17,351
7799f,1,10.75,392
27b83,1,89.9,206
d8060,1,84.99,432
0c060,1,139.9,281
2ce3e,1,210.0,443
f825d,1,30.21,275
bd26c,1,174.0,518
ebcb7,1,80.38,57
ba81c,1,62.99,434
1cbbc,1,679.6,533
4531a,1,169.0,397
bb6f1,1,134.9,198
7f742,1,20.3,347
a33df,1,89.9,275
c1c2d,1,172.14,132
da599,1,49.99,241
0840e,1,59.99,82
5fc4e,1,79.99,128
4c0f0,1,129.9,499
2e8b1,1,13.65,147
04ba7,1,79.98,126
73c64,1,32.9,436
5e1c1,1,110.0,124
15f3b,1,179.9,15
254dd,1,34.49,70
05fdb,1,84.99,245
ce1c6,1,95.0,30
12a3b,1,28.7,273
7e796,1,49.9,546
c206b,1,98.0,10
83460,2,81.45,87
43ba0,1,89.7,200
bc513,1,25.9,419
ab61b,1,169.9,243
3942f,1,49.9,504
418f5,1,238.0,162
518aa,1,116.91,195
a2110,1,25.5,148
473fc,1,134.9,270
f9e51,1,25.5,275
11737,1,209.9,488
222e4,1,59.99,68
16584,1,79.9,519
a1b74,1,2078.5,295
bd5ae,1,213.5,111
9ddf2,1,121.9,350
ab2cf,1,94.98,232
ea644,1,120.0,396
a27c2,1,399.93,264
a4e2c,1,49.8,110
1dc35,1,181.56,222
32be8,1,129.9,279
2385d,1,159.99,187
ff39b,1,12.99,88
0cb93,1,65.9,26
af56f,1,249.99,148
2711b,1,89.9,322
fc983,1,89.9,276
d073c,1,120.0,440
1d53b,1,146.94,70
56fc7,1,199.9,162
15196,1,70.0,28
bedd4,1,112.80000000000001,414
f78e8,1,29.97,227
03eca,1,59.9,304
07aa5,1,49.9,171
3c3ba,1,9.0,205
663d6,1,41.5,281
df78a,1,159.9,123
12592,1,102.0,103
67764,1,49.0,278
b9e22,1,649.9,285
2fb98,1,99.8,244
930d0,1,179.99,531
5217c,1,72.0,181
75f24,1,338.0,76
07476,1,2258.0,33
da046,1,94.9,273
0e8df,1,108.9,285
ba2ff,1,40.0,125
6b86a,1,19.9,178
debf7,1,64.9,302
5a880,1,380.0,529
797b4,1,56.89,271
8dddf,1,55.9,277
9cee4,1,64.99,314
7db8d,1,139.9,39
a6d5a,1,119.0,127
5ec80,1,67.0,33
b029d,1,69.9,262
53223,1,399.9,85
0177d,1,32.66,30
e8b27,2,99.80000000000001,526
5aa85,1,54.99,258
83652,1,157.9,498
652d7,1,79.9,523
1339d,1,49.0,113
a52fa,1,79.9,428
363bf,1,58.89,123
dd312,1,269.9,134
a836c,1,18.9,132
4ef21,1,19.99,439
af4a8,1,116.30000000000001,146
915f2,1,219.9,28
1dfa3,1,99.95,440
a1c75,1,47.9,60
2ffe0,1,105.99,46
643b5,1,14.99,10
cbb3d,1,56.0,424
3680e,1,220.0,263
4ac01,1,12.77,225
68756,1,29.99,204
dfd9e,1,59.0,111
25ee5,1,340.0,210
5b0ba,1,99.9,189
237df,1,209.70000000000002,104
99407,1,334.9,129
9139f,1,195.3,399
1f5e9,1,119.3,271
c49ce,1,94.9,475
fd6c5,1,149.9,56
7c207,1,119.9,372
14bb5,1,16.0,277
b4564,1,49.9,259
5a18b,1,49.9,40
eb63c,1,99.99,44
7b1f7,1,129.0,227
a8d91,1,169.83,144
9e38d,1,199.9,360
467ac,1,113.57,136
41f6f,1,59.9,285
6f354,1,29.99,242
4d176,1,56.99,337
bedc5,1,65.9,168
1fde0,1,30.1,274
194ac,1,151.0,207
0693b,1,23.9,499
13983,1,260.9,224
2cd9e,1,120.0,162
44224,1,25.45,190
4a5e6,1,9.9,28
d73cc,1,24.5,273
bcb2c,1,98.0,276
ded3e,1,79.0,262
e5d20,1,117.80000000000001,173
7b40e,1,110.32,43
f4b55,1,327.98,543
e9622,1,219.99,445
8da96,1,16.9,123
70ad5,1,129.99,32
38df0,1,24.9,10
6bfb0,1,29.99,7
45a88,1,150.0,232
0218d,1,69.9,99
26903,1,19.9,174
d2b1c,1,247.23,226
9cf9c,1,43.49,103
ea4a6,1,79.0,252
e1bfa,1,89.99,88
4640d,1,171.78,25
9dc51,1,35.9,127
ddbfe,1,179.99,39
278ca,1,60.9,139
5a553,1,199.9,235
40440,1,139.99,308
bafb2,1,99.9,369
9e2ad,1,91.3,99
13d10,1,27.9,102
0bef3,1,205.0,391
1104c,1,19.9,460
ba373,1,259.0,143
ce1a0,1,116.9,7
6dca4,1,430.0,503
cd4e2,1,42.0,366
9faeb,1,129.8,459
4bfba,1,16.9,211
a95bd,1,139.99,283
01485,1,49.9,365
6098c,1,29.4,162
a4259,1,40.0,237
1b627,1,50.4,46
973b2,1,147.9,315
61147,1,24.9,137
266f0,1,79.9,383
892de,1,171.9,278
bd1d8,1,39.0,318
5104a,1,92.1,155
01efb,1,118.0,163
fae7e,1,97.0,180
cf9b7,1,26.69,477
cb473,2,182.9,133
4b73e,1,12.25,220
11c32,1,38.6,346
39a03,1,25.9,407
98809,1,139.9,269
cc7a0,1,49.98,69
01a27,1,29.9,289
88c22,1,317.9,191
02a05,1,139.0,240
c992b,1,74.99,107
ad5e3,1,65.0,47
788dd,1,65.0,196
bb691,1,3999.9,529
f57f5,1,14.9,148
e3461,1,39.99,318
a987f,2,183.43,195
6b870,1,29.5,230
b6e66,1,7.87,540
da758,1,64.99,263
5c6a2,1,229.99,480
64099,1,29.99,328
3c4d9,1,18.9,276
e9a29,1,82.99,316
f5d54,1,49.9,356
db490,2,427.9,107
d01db,1,84.99,441
c8db9,1,99.99,546
a48da,1,69.9,117
63ac8,1,72.9,196
f4466,1,79.99,148
a9051,1,358.98,158
1a668,1,79.9,333
0fb16,1,34.9,184
8904a,1,1390.0,167
60c86,2,1429.8000000000002,72
9452c,1,29.98,9
64a00,1,318.0,37
74b74,1,65.6,565
a4782,1,49.0,146
cee16,1,59.0,369
ff2e4,1,63.9,140
ab849,1,87.74,577
59139,1,33.0,184
18c64,1,228.0,40
16b3c,1,99.99,503
d341d,1,610.0,366
52a71,1,134.0,130
c1e7f,1,46.4,72
cb234,1,29.9,350
8f01d,1,319.79999999999995,32
91487,1,42.9,344
14750,1,49.9,195
2fe62,1,69.9,418
71164,1,129.9,259
655b1,1,113.9,105
6f278,1,149.9,121
e92b5,1,49.99,483
fb177,1,22.49,53
d328e,1,120.0,286
60449,1,987.0,155
fd3a2,1,110.0,305
1f19c,1,9.9,205
e5386,1,117.3,139
cdc0a,2,226.34,40
47a77,1,81.99,321
58d8d,2,276.9,274
f78c8,1,34.9,294
4e2b0,1,157.0,91
44761,1,155.0,200
449e0,1,699.0,187
adca8,1,129.99,341
ca8fd,1,19.9,355
97a07,1,56.99,319
49af7,1,17.0,44
cb472,1,19.9,90
c4f7e,1,79.9,51
9aaab,1,12.9,173
81384,1,89.9,564
ce643,1,58.99,22
1a3bc,1,15.9,2
eb3ab,1,129.9,244
9bb84,1,219.9,147
ca54f,1,37.9,65
8daf3,1,24.9,525
6a627,1,39.0,164
0a772,1,72.9,317
7052a,1,35.0,510
708a1,1,69.9,173
823b7,1,79.9,275
1d20d,1,69.0,19
705f4,1,74.69999999999999,167
96d1a,1,29.0,295
a9e67,1,177.0,526
45a02,1,193.0,325
d27e2,1,35.0,18
193a7,1,79.0,211
4a7ba,2,289.9,485
ce1c6,1,78.0,151
38101,1,119.8,322
e358c,1,69.99,27
b481b,1,50.0,302
0801a,1,59.9,490
44bba,1,289.0,232
ab9b2,1,31.99,54
1987b,1,69.9,186
7c62b,1,229.98,43
0c225,1,248.0,425
4e3d0,1,82.8,184
26941,1,189.9,221
4797b,1,89.0,326
e4c52,1,49.0,201
1e71b,1,58.0,286
84598,1,269.99,431
713b2,1,22.5,327
3b305,1,69.9,266
0dc76,1,139.9,278
09dd8,1,38.7,173
339d2,1,49.9,212
6f213,1,99.9,90
beac5,1,185.0,74
1324c,1,55.0,17
c244f,1,399.98,474
8b25e,1,269.70000000000005,40
41696,1,200.0,386
9b9d1,1,13.65,263
c6b45,1,199.9,51
adc9d,1,70.97,265
b57c1,1,229.74,405
2e95e,1,209.99,71
e802a,1,69.9,535
78579,1,49.9,83
eb8ef,1,49.9,562
9afe5,1,57.99,188
ce54e,1,779.8,196
cd0cc,1,87.8,210
0e1fb,1,289.9,489
b0f00,1,129.0,237
5824d,1,49.9,171
94579,1,109.66,277
58d82,1,217.0,180
4b161,2,208.88,32
a57f6,1,18.9,261
0d4de,1,23.8,197
73601,1,69.5,47
55990,1,239.9,379
33c3c,1,399.0,120
86333,1,159.99,215
3801e,1,86.9,237
75c0e,1,51.0,134
6af95,1,69.99,104
1b8ab,1,68.8,126
ec7e6,1,55.0,328
1e2df,1,139.8,347
954be,1,29.0,410
f61ec,1,57.89,72
204d8,1,35.0,182
5a66b,1,26.9,373
62287,1,27.8,411
d1b94,1,30.0,92
514a1,1,60.0,58
aef0e,1,13.99,476
a068d,1,55.8,148
9adfb,1,126.9,585
9b496,1,139.99,228
0829b,1,69.9,172
9f745,1,1799.0,29
9a7b8,1,22.0,133
81673,1,44.9,141
ea729,1,50.0,105
e1da9,1,64.9,188
c5ff8,1,9.9,110
97397,2,41.260000000000005,173
6c329,1,45.0,419
01d66,1,35.9,326
8a959,1,190.9,290
0c3a9,1,34.99,400
3a149,1,94.9,447
8be57,1,84.99,450
a78ca,1,19.9,542
d335c,1,179.9,400
3a156,1,39.99,374
010ad,1,80.0,226
ca86a,1,87.9,210
4b00a,1,199.99,271
d8bdd,1,33.99,188
61c2d,1,29.99,258
7c50d,1,29.99,11
85fbf,1,89.9,64
7fd60,1,259.9,161
3b886,1,99.9,71
880fd,1,18.99,428
dcb0e,1,45.8,43
27960,1,118.0,107
5a877,1,159.9,131
3b502,1,49.8,112
dd9f0,1,22.0,43
edec8,1,147.9,320
